"Step","mini-arc-50b - lm_loss","mini-arc-50b - lm_loss__MIN","mini-arc-50b - lm_loss__MAX","mini-arc-50b - lm_loss_adj","mini-arc-50b - lm_loss_adj__MIN","mini-arc-50b - lm_loss_adj__MAX","mini-lm - lm_loss","mini-lm - lm_loss__MIN","mini-lm - lm_loss__MAX"
"2","","","","11.072118759155273","11.072118759155273","11.072118759155273","","",""
"28","","","","9.589049339294434","9.589049339294434","9.589049339294434","9.594559669494629","9.594559669494629","9.594559669494629"
"30","9.517316818237305","9.517316818237305","9.517316818237305","","","","","",""
"38","9.209810256958008","9.209810256958008","9.209810256958008","","","","","",""
"43","","","","","","","9.025514602661133","9.025514602661133","9.025514602661133"
"44","","","","8.904556274414062","8.904556274414062","8.904556274414062","","",""
"46","8.963343620300293","8.963343620300293","8.963343620300293","","","","","",""
"56","","","","8.430166244506836","8.430166244506836","8.430166244506836","","",""
"58","8.464530944824219","8.464530944824219","8.464530944824219","","","","","",""
"62","8.289241790771484","8.289241790771484","8.289241790771484","","","","8.253981590270996","8.253981590270996","8.253981590270996"
"81","","","","7.5698137283325195","7.5698137283325195","7.5698137283325195","","",""
"84","","","","","","","7.551718711853027","7.551718711853027","7.551718711853027"
"89","7.45777702331543","7.45777702331543","7.45777702331543","","","","7.386521339416504","7.386521339416504","7.386521339416504"
"92","","","","","","","7.405035018920898","7.405035018920898","7.405035018920898"
"97","7.425241947174072","7.425241947174072","7.425241947174072","","","","","",""
"106","7.314224720001221","7.314224720001221","7.314224720001221","","","","","",""
"119","","","","","","","7.065496921539307","7.065496921539307","7.065496921539307"
"129","","","","7.026761054992676","7.026761054992676","7.026761054992676","6.928463459014893","6.928463459014893","6.928463459014893"
"131","","","","6.88115119934082","6.88115119934082","6.88115119934082","","",""
"137","6.995413303375244","6.995413303375244","6.995413303375244","","","","6.9250946044921875","6.9250946044921875","6.9250946044921875"
"147","","","","6.622719764709473","6.622719764709473","6.622719764709473","","",""
"148","6.735774517059326","6.735774517059326","6.735774517059326","","","","","",""
"149","6.826813697814941","6.826813697814941","6.826813697814941","","","","","",""
"154","","","","","","","6.65543794631958","6.65543794631958","6.65543794631958"
"155","","","","6.766828536987305","6.766828536987305","6.766828536987305","","",""
"164","6.658584117889404","6.658584117889404","6.658584117889404","","","","","",""
"166","","","","","","","6.4588422775268555","6.4588422775268555","6.4588422775268555"
"168","","","","","","","6.598198890686035","6.598198890686035","6.598198890686035"
"175","6.569141387939453","6.569141387939453","6.569141387939453","","","","","",""
"181","","","","","","","6.598541259765625","6.598541259765625","6.598541259765625"
"191","","","","6.42791748046875","6.42791748046875","6.42791748046875","","",""
"192","","","","6.395835876464844","6.395835876464844","6.395835876464844","","",""
"195","","","","","","","6.2608795166015625","6.2608795166015625","6.2608795166015625"
"208","","","","","","","6.3510942459106445","6.3510942459106445","6.3510942459106445"
"217","","","","","","","6.2675628662109375","6.2675628662109375","6.2675628662109375"
"221","","","","","","","6.238683223724365","6.238683223724365","6.238683223724365"
"222","6.178378582000732","6.178378582000732","6.178378582000732","","","","6.136162281036377","6.136162281036377","6.136162281036377"
"224","","","","6.12485933303833","6.12485933303833","6.12485933303833","","",""
"230","6.242191791534424","6.242191791534424","6.242191791534424","","","","","",""
"235","","","","","","","6.215351581573486","6.215351581573486","6.215351581573486"
