"Step","med-arc-10b - lm_loss","med-arc-10b - lm_loss__MIN","med-arc-10b - lm_loss__MAX","med-arc-10b - lm_loss_adj","med-arc-10b - lm_loss_adj__MIN","med-arc-10b - lm_loss_adj__MAX","med-lm - lm_loss","med-lm - lm_loss__MIN","med-lm - lm_loss__MAX"
"0","2.8110363483428955","2.8110363483428955","2.8110363483428955","2.8137762248516083","2.8137762248516083","2.8137762248516083","","",""
"1","","","","2.908308058977127","2.908308058977127","2.908308058977127","","",""
"6","","","","","","","2.8306500911712646","2.8306500911712646","2.8306500911712646"
"7","2.8098483085632324","2.8098483085632324","2.8098483085632324","2.81083944439888","2.81083944439888","2.81083944439888","","",""
"8","","","","2.8346288204193115","2.8346288204193115","2.8346288204193115","2.8336570262908936","2.8336570262908936","2.8336570262908936"
"9","2.8379414081573486","2.8379414081573486","2.8379414081573486","","","","","",""
"10","","","","2.772139996290207","2.772139996290207","2.772139996290207","2.766227960586548","2.766227960586548","2.766227960586548"
"11","2.875775098800659","2.875775098800659","2.875775098800659","","","","","",""
"12","2.7239842414855957","2.7239842414855957","2.7239842414855957","2.725045382976532","2.725045382976532","2.725045382976532","2.7237517833709717","2.7237517833709717","2.7237517833709717"
"13","2.8291852474212646","2.8291852474212646","2.8291852474212646","2.832176595926285","2.832176595926285","2.832176595926285","","",""
"15","2.843623638153076","2.843623638153076","2.843623638153076","","","","2.843491554260254","2.843491554260254","2.843491554260254"
"16","","","","","","","2.7226436138153076","2.7226436138153076","2.7226436138153076"
"17","2.713841676712036","2.713841676712036","2.713841676712036","","","","","",""
"18","2.739798069000244","2.739798069000244","2.739798069000244","","","","","",""
"19","2.775205135345459","2.775205135345459","2.775205135345459","2.782808393239975","2.782808393239975","2.782808393239975","2.775683879852295","2.775683879852295","2.775683879852295"
"20","","","","2.8381504118442535","2.8381504118442535","2.8381504118442535","","",""
"21","","","","","","","2.8018617630004883","2.8018617630004883","2.8018617630004883"
"22","","","","2.757200449705124","2.757200449705124","2.757200449705124","","",""
"23","2.7877957820892334","2.7877957820892334","2.7877957820892334","2.7904873490333557","2.7904873490333557","2.7904873490333557","","",""
"25","","","","2.895767241716385","2.895767241716385","2.895767241716385","2.886831760406494","2.886831760406494","2.886831760406494"
"26","2.8089370727539062","2.8089370727539062","2.8089370727539062","","","","","",""
"27","2.8579797744750977","2.8579797744750977","2.8579797744750977","","","","","",""
"28","2.8962199687957764","2.8962199687957764","2.8962199687957764","","","","2.896648645401001","2.896648645401001","2.896648645401001"
"29","2.959303617477417","2.959303617477417","2.959303617477417","","","","","",""
"30","2.753495931625366","2.753495931625366","2.753495931625366","","","","","",""
"32","2.7431163787841797","2.7431163787841797","2.7431163787841797","2.7554680705070496","2.7554680705070496","2.7554680705070496","2.7430198192596436","2.7430198192596436","2.7430198192596436"
"33","","","","2.8342261910438538","2.8342261910438538","2.8342261910438538","","",""
"35","2.885749340057373","2.885749340057373","2.885749340057373","2.8889087438583374","2.8889087438583374","2.8889087438583374","2.885538101196289","2.885538101196289","2.885538101196289"
"36","2.74570894241333","2.74570894241333","2.74570894241333","2.7509234845638275","2.7509234845638275","2.7509234845638275","","",""
"37","","","","2.845085024833679","2.845085024833679","2.845085024833679","","",""
"38","","","","2.7243999540805817","2.7243999540805817","2.7243999540805817","2.7135462760925293","2.7135462760925293","2.7135462760925293"
"40","2.714594602584839","2.714594602584839","2.714594602584839","","","","","",""
"41","2.7103304862976074","2.7103304862976074","2.7103304862976074","2.7193197309970856","2.7193197309970856","2.7193197309970856","","",""
"42","","","","","","","2.8617124557495117","2.8617124557495117","2.8617124557495117"
"43","2.6617681980133057","2.6617681980133057","2.6617681980133057","","","","","",""
"44","2.7771480083465576","2.7771480083465576","2.7771480083465576","2.779161423444748","2.779161423444748","2.779161423444748","2.776777982711792","2.776777982711792","2.776777982711792"
"45","","","","","","","2.771397352218628","2.771397352218628","2.771397352218628"
"47","2.858954906463623","2.858954906463623","2.858954906463623","2.8663505911827087","2.8663505911827087","2.8663505911827087","2.8589460849761963","2.8589460849761963","2.8589460849761963"
"48","2.7814528942108154","2.7814528942108154","2.7814528942108154","","","","2.7812981605529785","2.7812981605529785","2.7812981605529785"
"50","2.71846866607666","2.71846866607666","2.71846866607666","","","","2.717550039291382","2.717550039291382","2.717550039291382"
"51","","","","","","","2.763845682144165","2.763845682144165","2.763845682144165"
"52","2.9125118255615234","2.9125118255615234","2.9125118255615234","","","","","",""
"53","3.141362190246582","3.141362190246582","3.141362190246582","3.1453127562999725","3.1453127562999725","3.1453127562999725","","",""
"54","2.718912124633789","2.718912124633789","2.718912124633789","2.7215647995471954","2.7215647995471954","2.7215647995471954","","",""
"55","","","","2.745872884988785","2.745872884988785","2.745872884988785","","",""
"56","2.6571714878082275","2.6571714878082275","2.6571714878082275","2.663738399744034","2.663738399744034","2.663738399744034","2.656160354614258","2.656160354614258","2.656160354614258"
"57","","","","","","","2.6691606044769287","2.6691606044769287","2.6691606044769287"
"58","","","","2.6864568889141083","2.6864568889141083","2.6864568889141083","","",""
"59","2.7749390602111816","2.7749390602111816","2.7749390602111816","2.782981753349304","2.782981753349304","2.782981753349304","","",""
"61","2.6913864612579346","2.6913864612579346","2.6913864612579346","","","","","",""
"62","2.8087363243103027","2.8087363243103027","2.8087363243103027","","","","2.80892014503479","2.80892014503479","2.80892014503479"
"63","","","","2.76646688580513","2.76646688580513","2.76646688580513","","",""
"64","","","","2.7353627681732178","2.7353627681732178","2.7353627681732178","","",""
"66","2.750753879547119","2.750753879547119","2.750753879547119","2.753104090690613","2.753104090690613","2.753104090690613","","",""
"67","","","","2.769066333770752","2.769066333770752","2.769066333770752","","",""
"68","2.776515245437622","2.776515245437622","2.776515245437622","","","","","",""
"69","2.71453857421875","2.71453857421875","2.71453857421875","","","","2.7148947715759277","2.7148947715759277","2.7148947715759277"
"70","2.886772632598877","2.886772632598877","2.886772632598877","","","","","",""
"73","2.825042724609375","2.825042724609375","2.825042724609375","","","","","",""
"74","","","","","","","2.869520425796509","2.869520425796509","2.869520425796509"
"75","2.7465763092041016","2.7465763092041016","2.7465763092041016","","","","","",""
"76","3.062016725540161","3.062016725540161","3.062016725540161","3.0627429485321045","3.0627429485321045","3.0627429485321045","3.061420440673828","3.061420440673828","3.061420440673828"
